"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
11525, 1.122984440245777e+00, 3.934936310014519e-01, 5.875370774580069e-03, 1.097033018984431e+00, 8.858587353508167e-01, 4.562759738549739e-02, -8.159124047431653e-03, 3.273918966303489e+00, 1.166108978744174e+00, 1.048790818171457e+00, 6.628491757563626e-01, 3.051861710454711e-01
11526, 1.117703160717067e+00, 3.680550046282791e-01, 1.673282487618147e-02, 1.088741873091726e+00, 9.114981301226686e-01, 3.466257306366494e-02, -2.423012498759593e-02, 3.256729663503057e+00, 1.149741482078310e+00, 1.041944798964537e+00, 6.892807801340630e-01, 2.724511777137427e-01
11527, 1.039750737853933e+00, 2.624538405589910e-01, 2.114656040321524e-02, 1.056047578368148e+00, 9.237288000576341e-01, 2.796252116959809e-02, -1.009424453502775e-01, 3.169873538820402e+00, 1.104273802114067e+00, 1.031722069633002e+00, 7.275696732879605e-01, 1.815158177852583e-01
11528, 1.071113567633577e+00, 3.489770244723790e-01, 3.332620979052106e-03, 1.073985193805311e+00, 9.097295203547625e-01, 3.598932163610805e-02, -1.088955094184276e-01, 3.216653467793152e+00, 1.130092885372973e+00, 1.038210180752526e+00, 7.034222668181126e-01, 2.331539843030686e-01
11529, 1.085853016885098e+00, 3.614794439134696e-01, 1.943199079337426e-03, 1.102673198890694e+00, 9.216980950843832e-01, 3.760025369866094e-02, -1.097378406232125e-01, 3.299557996103150e+00, 1.163297484005975e+00, 1.040910540918270e+00, 6.932157753509430e-01, 2.995631815690741e-01
11530, 1.152605553357737e+00, 5.321062145210629e-01, 2.514577133201346e-02, 1.075649029413805e+00, 9.091454151091216e-01, 2.343184785186642e-02, -4.212688266663052e-02, 3.219711117563974e+00, 1.133769286990051e+00, 1.039976522088838e+00, 6.967569687489445e-01, 2.405067875372260e-01
11531, 1.113401390103836e+00, 4.410404005881787e-01, 2.033511498357661e-02, 1.093056449854325e+00, 9.091395274652659e-01, 3.180075302412665e-02, -7.627525752148032e-02, 3.268869132067014e+00, 1.155064424112735e+00, 1.042636809267446e+00, 6.866397162318579e-01, 2.830970617825926e-01
11532, 1.125102781283963e+00, 4.153668281748463e-01, 1.810535863394681e-02, 1.087481768446805e+00, 9.123924602694541e-01, 3.269668187316434e-02, -3.474651693104575e-02, 3.253491735473584e+00, 1.147879381215421e+00, 1.041462667611348e+00, 6.911169382469168e-01, 2.687269759879652e-01
11533, 1.131982045604950e+00, 4.854885964777593e-01, 9.610449052818279e-03, 1.077793708664122e+00, 8.443376740746688e-01, 4.992606900704383e-02, -4.631780844827334e-02, 3.210936508897808e+00, 1.151224065781883e+00, 1.053886040935331e+00, 6.427062405989622e-01, 2.754163451208896e-01
11534, 1.096874790305144e+00, 3.759505205761299e-01, 1.082071996209629e-03, 1.098699825697607e+00, 8.509013948148011e-01, 5.849323467529659e-02, -1.011677976332935e-01, 3.272184369682260e+00, 1.174589651666711e+00, 1.054815617580184e+00, 6.389843027333877e-01, 3.221475168905453e-01
