"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,     "Avg CFL"    ,       "CD"       ,       "CL"       
         159,     0.00586368775,      -4.067876488,      -3.615344684,      -9.226441691,                         5,     -0.4461046221,                 5,     0.07056169672,      0.2862594549
         160,    0.005867657075,      -4.310150443,      -3.860189377,      -9.221157234,                         5,      -0.370896892,                 5,     0.07057873006,      0.2850481303
         161,    0.005870723006,      -4.261143174,      -3.811717057,      -9.219534629,                         5,     -0.2836245507,                 5,     0.07057027966,      0.2852018315
         162,    0.005873975724,      -4.313581918,      -3.864663522,       -9.21508336,                         5,      -0.268045603,                 5,      0.0707633462,      0.2848933606
         163,    0.005877033159,      -4.239197107,      -3.789128501,      -9.213928107,                         5,     -0.3055241774,                 5,     0.07067699675,      0.2861504272
         164,    0.005880003752,      -4.270507086,      -3.821839684,      -9.210408065,                         5,     -0.2872544718,                 5,     0.07085538876,      0.2858476758
         165,    0.005883185657,      -4.245277471,      -3.795560608,      -9.209352253,                         5,     -0.2969086705,                 5,     0.07075443884,      0.2866251787
         166,    0.005887050395,      -4.296181184,      -3.848982719,      -9.205750114,                         5,     -0.2704980358,                 5,     0.07086527236,      0.2863447735
         167,    0.005890329851,      -4.264261579,      -3.815723166,      -9.203860407,                         5,     -0.2806434899,                 5,     0.07082461506,       0.286799682
         168,    0.005893968278,      -4.292845621,      -3.845749371,      -9.200567063,                         5,     -0.2594831737,                 5,     0.07087612184,      0.2866313453
         169,    0.005896865382,      -4.279249597,      -3.831628548,      -9.198278394,                         5,     -0.2693801591,                 5,     0.07073412643,      0.2874812669
         170,    0.005900348614,      -4.302451259,      -3.855618788,      -9.192352299,                         5,     -0.3314419837,                 5,     0.07104823477,      0.2856956639
         171,    0.005902282477,       -4.25078773,      -3.799882248,      -9.188996728,                         5,     -0.2636170675,                 5,     0.07112638759,      0.2860696403
         172,    0.005904641012,      -4.241486514,      -3.789907743,      -9.184146022,                         5,     -0.2954662157,                 5,     0.07168331791,      0.2885928106
         173,    0.005907185615,      -4.130931801,      -3.675294369,      -9.182215473,                         5,      -0.316248837,                 5,      0.0713796979,      0.2879476417
         174,    0.005910082783,      -4.181484781,      -3.729440155,      -9.179589829,                         5,     -0.2817250043,                 5,     0.07109124443,       0.287108808
         175,     0.00591292967,      -4.182854694,      -3.731055382,      -9.176053069,                         5,     -0.3050632287,                 5,     0.07125120783,      0.2874207948
         176,    0.005915401983,      -4.216597186,      -3.764126303,      -9.173123462,                         5,     -0.2631725175,                 5,     0.07119793236,      0.2878358076
         177,    0.005917425876,      -4.220467559,      -3.768778602,       -9.16978588,                         5,     -0.2593946222,                 5,     0.07122218386,      0.2877194414
         178,    0.005918729927,      -4.218567686,       -3.76662977,      -9.166609711,                         5,     -0.2597172359,                 5,      0.0712243094,      0.2880541513
         179,    0.005920073089,      -4.218527901,      -3.766662253,      -9.163318454,                         5,     -0.2598047316,                 5,     0.07121855099,      0.2878974045
         180,    0.005921214249,      -4.213625986,      -3.761670695,      -9.160160504,                         5,     -0.2646651636,                 5,     0.07118258832,      0.2888342197
         181,    0.005922575181,      -4.220773629,      -3.769126839,      -9.156397913,                         5,     -0.2908861552,                 5,     0.07106840796,      0.2868114762
         182,    0.005925691497,       -4.17014072,      -3.716545235,      -9.152875597,                         5,      -0.272447119,                 5,     0.07120085247,      0.2867464829
         183,    0.005928299446,      -4.174606532,      -3.721062143,      -9.148624162,                         5,     -0.3038038406,                 5,     0.07141965091,      0.2850881369
         184,    0.005931116492,      -4.089639044,      -3.634835042,      -9.146281773,                         5,     -0.2944519474,                 5,     0.07104813006,      0.2846625274
         185,     0.00593454936,      -4.154369915,      -3.702034538,      -9.143453635,                         5,      -0.269508036,                 5,     0.07087348122,      0.2850635291
         186,    0.005937245492,      -4.167222941,      -3.715445497,      -9.140250849,                         5,     -0.2705402557,                 5,     0.07091895734,      0.2855520334
         187,    0.005939171261,      -4.184390834,      -3.732522006,      -9.137109488,                         5,     -0.2642423898,                 5,     0.07086416212,      0.2847072525
         188,    0.005941388667,      -4.173397848,      -3.721979618,      -9.133791337,                         5,     -0.2675290184,                 5,     0.07093478969,       0.284122659
         189,    0.005943001711,      -4.168451984,      -3.716113307,       -9.13091348,                         5,     -0.2757427273,                 5,      0.0708114391,      0.2846251547
         190,    0.005944762194,      -4.190785112,      -3.739566067,       -9.12779561,                         5,     -0.2724738494,                 5,     0.07091152701,      0.2848510066
         191,    0.005946646318,      -4.201298917,      -3.749337483,      -9.124104371,                         5,       -0.26260313,                 5,     0.07100691764,      0.2840905438
         192,    0.005948254798,      -4.163569097,      -3.711671598,      -9.121772041,                         5,      -0.269025459,                 5,     0.07077197105,      0.2848393508
         193,    0.005950022907,      -4.183318172,      -3.731926074,      -9.118085555,                         5,     -0.2912734713,                 5,     0.07118617871,      0.2846483813
